property_type,neighborhood,address,room_num,floor,area,garden_area,days_to_enter,num_of_payments,monthly_arnona,building_tax,total_floors,description,has_parking,has_stotsge,elevator,ac,handicap,has_bars,has_safe_room,has_balcon,is_furnished,is_renovated,price,num_of_images,distance_from_center
כללי,הצפון החדש סביבת ככר המדינה,ליסין 9,1.0,3.0,20,0,0.0,12.0,300.0,150.0,,"סטודיו ליד איכילוב וסבידור. להשכרה ליום, שבוע, חודש או יותר.",0,0,0,0,0,0,0,1,0,0,5000.0,9.0,2110.0
דירה,שיכון בבלי,הכנסת הגדולה 11,3.5,4.0,90,0,,12.0,1100.0,210.0,4.0,"דירת 3.5 חדרים בשכונת בבלי, חניה בטאבו ומעלית. שני בתי שימוש. ארונות קיר בדירה, כיריים בילד אין, מזגנים בכל החדרים), 3 כירווני אויר. מרווחת, נעימה, מרפסות שירות בנוסף לחצי חדר. 
יש תמ""א באופק הלא רחוק, 9 חודשים עד שנתיים (ממידע שקיבלנו ) ולכן סעיף פינוי למשכיר ולשוכר. יש אפשרות לריהוט.  חלק ממוצרי החשמל של השוכרים מוצעים למכירה. כניסה 25.8.24. נייד 053-5318928",0,0,0,0,0,0,0,0,0,0,3000.0,7.0,3702.0
דירה,הצפון החדש סביבת ככר המדינה,פייבל 17,5.0,4.0,127,0,0.0,12.0,503.0,558.0,6.0,"ללא דמי תיווך: 
-------------
ליד תמא 38 בבניה. כחדשה בסיום תמ""א חיזוק והרחבות. 5 חדרים כולל ממ""ד, פינת עבודה, מחסן, מסתור למכונות כביסה וייבוש, מרפסת שמש, כ 127 מ""ר. 5 מזגנים, 4 ארונות קיר חדשים, מטבח חדש מרווח ומואר, כיריים, גז מרכזי, הכנה לשוטף כלים ותנור. חניה תת קרקעית במתקן אוטומטי. 2 חדרי מקלחת ושירותים + שרותי אורחים. חימום מים סולארי. דלת פלד, אינטרקום TV צבע",1,1,1,0,1,0,1,1,0,0,9000.0,12.0,2185.0
דירה,הצפון החדש סביבת ככר המדינה,פייבל 16,4.0,1.0,127,0,0.0,12.0,1400.0,520.0,5.0,להשכרה מתיווך דירת 4 חדרים מרווחת מאד 127מ חדשה מעלית חנייה מרפסת 5מ להשכרה מיידית,1,0,1,0,1,1,1,1,0,1,6000.0,4.0,2134.0
כללי,הצפון החדש סביבת ככר המדינה,ז'בוטינסקי 112,1.0,,18,0,0.0,12.0,,,,"חניה גדולה, מתאימה לכל סוג רכב",0,0,0,0,0,0,0,0,0,0,8900.0,2.0,1778.0
דירה,שיכון בבלי,המשנה 11,3.0,1.0,90,0,0.0,9.0,850.0,300.0,3.0,"ללא תיווך, דירה להשכרה עד 1.12.24, בניין לתמ""א, בפינוי לא צריך לצבוע או לפנות חפצים . דירה משופצת, סלון וחדרים ענקיים, מטבח מפנק, משופצת",1,0,1,0,0,1,0,0,1,1,8500.0,10.0,3758.0
דירה,הצפון החדש סביבת ככר המדינה,ז'בוטינסקי 147,5.0,3.0,130,0,0.0,12.0,,,4.0,זבוטינסקי 147 תלאביב קומה3 יש מעלית. דירה מרוהטת 5חדרים 2שרותים ומקלחת. יש מקלט. לחודש 8500שח כולל ארנונה ועד-בית ואינטרנט. דניאל,0,0,1,0,1,0,0,1,1,1,6000.0,10.0,2345.0
דירה,הצפון החדש סביבת ככר המדינה,שור 3,2.0,3.0,65,0,0.0,12.0,450.0,150.0,5.0,"רחוב: בפרופסור שור
בצפון הישן
מיקום נהדר
דירת 2 חדרים נהדרת 65 מ""ר בקומה שניה עם מרפסת שווה.
סלון מרווח.דירה מוארת ומאוררת.
מטבח ניפרד ! דוד שמש ! יש מקלט !
הסכם שכירות קליל !
כניסה מידית.",0,0,0,0,0,0,0,1,0,1,6400.0,10.0,796.0
דירה,הצפון החדש סביבת ככר המדינה,בילטמור 3,4.0,1.0,97,0,0.0,12.0,900.0,100.0,3.0,"מחפשת שתי שותפות/ים להצטרף אלי לדירה באזור כיכר המדינה\הצפון הישן.
דירת 4 חדרים להשכרה במצב שמור כולל ריהוט מלא, מקרר, תנור, מיקרו, טלוייזיה, מכונת כביסה ומייבש...
כניסה מיידית. שכר דירה של של 2575 שח לשותפה. פרטים נוספים בפרטי.",0,0,0,0,0,0,0,0,1,0,6000.0,4.0,1589.0
דירה,שיכון בבלי,הזוהר 35,2.0,4.0,46,0,0.0,12.0,500.0,190.0,4.0,"בשכונת בבלי בת""א הנהדרת, דירת שני חדרים מקסימה ושמורה עם מעלית וחניה. מיקום מעולה - מרחק הליכה קצרה מפארק הירקון. בדירה קיימים: חדר שירותים ואמבטיה בנפרד. הדירה ממוזגת (חדר שינה + סלון).",1,0,1,0,0,0,0,0,0,0,1200.0,10.0,2999.0
דירה,הצפון החדש סביבת ככר המדינה,הלסינקי 2,2.5,3.0,60,0,,12.0,350.0,165.0,4.0,דירה עורפית משופצת מזגנים וארונות .......לא למתווכים,0,0,0,0,0,0,0,0,0,1,9500.0,5.0,1790.0
